id,name_movement,keywords
1727,Piano Quintet in A major 2. Andante,"piano, strings, chamber music, collaboration, elegance, dynamics, harmonious, expressive, virtuosic, classical"
1727,Piano Quintet in A major 2. Andante,"Melancholic, intimate, tender, poignant, reflective, lyrical, introspective, emotive, graceful, pensive"
1727,Piano Quintet in A major 2. Andante,"Graceful, mellifluous, elegant, serene, lyrical, introspective, delicate, flowing, emotive, enchanting"
1727,Piano Quintet in A major 2. Andante,"Emotion, melancholy, longing, introspection, subtlety, depth, beauty, reflection, fragility, artistry"
1728,Piano Quintet in A major 3. Scherzo: Presto,"Piano, Quintet, Schubert, A major, Chamber, Ensemble, Classical, Presto, Energetic, Passionate"
1728,Piano Quintet in A major 3. Scherzo: Presto,"Energetic, lively, playful, whimsical, lively, dynamic, spirited, energetic, whimsical, playful"
1728,Piano Quintet in A major 3. Scherzo: Presto,"Poignant, spirited, lively, energetic, playful, elegant, intricate, dynamic, enchanting, harmonious"
1728,Piano Quintet in A major 3. Scherzo: Presto,"emotional depth, interconnectedness, narrative progression, tension, lightness, darkness, introspection, energetic, contrast, unity"
1729,Piano Quintet in A major 4. Andantino - Allegretto,"Piano, Quintet, Schubert, Chamber Music, Romantic, Melodic, Elegance, Collaboration, Harmonious, Expressive"
1729,Piano Quintet in A major 4. Andantino - Allegretto,"melancholic, serene, contemplative, bittersweet, introspective, tender, nostalgic, delicate, intimate, wistful"
1729,Piano Quintet in A major 4. Andantino - Allegretto,"Lyricism, elegance, passion, melancholy, intricate, graceful, emotional, flowing, classical, romantic"
1729,Piano Quintet in A major 4. Andantino - Allegretto,"1. Richness
2. Depth
3. Emotion
4. Elegance
5. Power
6. Complexity
7. Mystery
8. Beauty
9. Contrast
10. Harmony"
1730,Piano Quintet in A major 5. Allegro giusto,"Piano, Quintet, Chamber Music, Schubert, Classical, Romantic, Allegro, Strings, Composition, Masterpiece"
1730,Piano Quintet in A major 5. Allegro giusto,"Joyful, energetic, spirited, vibrant, lively, playful, lively, exuberant, dynamic, celebratory"
1730,Piano Quintet in A major 5. Allegro giusto,"Elegant, flowing, intricate, vibrant, innovative, dynamic, expressive, emotive, graceful, captivating"
1730,Piano Quintet in A major 5. Allegro giusto,"Melancholy, yearning, exuberance, fragility, contrast, transcendence, reflection, intimacy, conversation, transformation"
1733,Piano Sonata in A major 2. Andantino,"Piano, Schubert, Sonata, A major, Instrument, Andantino, Chapter 2, Performance, Technique, Harmonies"
1733,Piano Sonata in A major 2. Andantino,"Melancholic, introspective, tranquil, wistful, nostalgic, yearning, graceful, delicate, contemplative, emotive"
1733,Piano Sonata in A major 2. Andantino,"Graceful, lyrical, introspective, flowing, melancholic, tender, poetic, expressive, nuanced, serene"
1733,Piano Sonata in A major 2. Andantino,"Nostalgia, longing, contemplation, sensitivity, introspection, emotional depth, lyrical, romantic, poetic, melancholy"
